figure_id,figure_path,figure_type,source_script,source_data,privacy_status,manuscript_section_recommended,claim_supported,limitations,generated_timestamp
ana01_mechanism_ablation_performance,figures/tcds_ready9/analysis/ana01_mechanism_ablation_performance.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results B,mechanism ablation performance,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:33.750286
ana02_mechanism_functional_roles,figures/tcds_ready9/analysis/ana02_mechanism_functional_roles.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results B,mechanism functional roles,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:34.586286
ana03_robustness_degradation_curves,figures/tcds_ready9/analysis/ana03_robustness_degradation_curves.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results C,robustness degradation,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:34.966286
ana04_robustness_summary,figures/tcds_ready9/analysis/ana04_robustness_summary.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results C,robustness summary,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:35.086286
ana05_clinical_label_sensitivity,figures/tcds_ready9/analysis/ana05_clinical_label_sensitivity.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results B,exploratory clinical-label sensitivity,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:35.190286
ana06_kappa_shuffle_null,figures/tcds_ready9/analysis/ana06_kappa_shuffle_null.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results A,kappa shuffle-null,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:35.490286
ana07_closed_loop_success_by_policy,figures/tcds_ready9/analysis/ana07_closed_loop_success_by_policy.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results D,closed-loop success,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:35.750286
ana08_closed_loop_entropy_steps,figures/tcds_ready9/analysis/ana08_closed_loop_entropy_steps.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results D,closed-loop entropy and steps,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:36.066286
ana09_closed_loop_failure_modes,figures/tcds_ready9/analysis/ana09_closed_loop_failure_modes.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Results D,closed-loop failure modes,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:36.226286
ana10_evaluation_coverage,figures/tcds_ready9/analysis/ana10_evaluation_coverage.pdf,analysis,experiments/tcds_ready9/07_generate_analysis_plots.py,,privacy-preserving (aggregate/hashed),Discussion,evaluation coverage,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:36.334286
ana11_graph_perturbation_support,figures/tcds_ready9/analysis/ana11_graph_perturbation_support.pdf,analysis,,,privacy-preserving (aggregate/hashed),Discussion,bounded graph support,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:32.598286
ana12_pipeline_runtime_resource,figures/tcds_ready9/analysis/ana12_pipeline_runtime_resource.pdf,analysis,,,privacy-preserving (aggregate/hashed),Discussion,runtime/resource support,bounded to the measured SHAPE ERP regime,2026-06-09T17:30:32.694286
obs00_dataset_integrity_qc,figures/tcds_ready9/observations/obs00_dataset_integrity_qc.pdf,observation,experiments/tcds_ready9/01_dataset_provenance_qc.py,shape_features_211.pkl,privacy-preserving (aggregate/hashed),Results A,dataset integrity and provenance,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:06.670321
obs01_erp_condition_grand_average,figures/tcds_ready9/observations/obs01_erp_condition_grand_average.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,shape_features_211.pkl,privacy-preserving (aggregate/hashed),Results A,observed ERP morphology,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:09.066321
obs02_channel_time_variability,figures/tcds_ready9/observations/obs02_channel_time_variability.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,shape_features_211.pkl,privacy-preserving (aggregate/hashed),Results A,channel x time variability,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:09.974321
obs03_signal_perturbation_examples,figures/tcds_ready9/observations/obs03_signal_perturbation_examples.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,shape_features_211.pkl,privacy-preserving (aggregate/hashed),Results C,perturbation examples,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:10.318321
obs04_reservoir_spike_raster,figures/tcds_ready9/observations/obs04_reservoir_spike_raster.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,shape_features_211.pkl,privacy-preserving (aggregate/hashed),Results A,observed reservoir spike behavior,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:11.030321
obs05_population_rate_by_condition,figures/tcds_ready9/observations/obs05_population_rate_by_condition.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,ch6_ch7_3class_features.pkl,privacy-preserving (aggregate/hashed),Results A,observed population-rate behavior,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:11.166321
obs06_bsc6_temporal_bins,figures/tcds_ready9/observations/obs06_bsc6_temporal_bins.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,ch6_ch7_3class_features.pkl,privacy-preserving (aggregate/hashed),Results A,BSC6 temporal coding,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:11.398321
obs07_feature_block_distributions,figures/tcds_ready9/observations/obs07_feature_block_distributions.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,shape_features_211.pkl;ch6_ch7_3class_features.pkl,privacy-preserving (aggregate/hashed),Results A,feature-block distributions,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:12.054321
obs08_tplv_adjacency_matrices,figures/tcds_ready9/observations/obs08_tplv_adjacency_matrices.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,ch6_ch7_3class_features.pkl,privacy-preserving (aggregate/hashed),Results A,observed tPLV graph structure,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:12.310321
obs09_kappa_observation,figures/tcds_ready9/observations/obs09_kappa_observation.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,ch6_ch7_3class_features.pkl,privacy-preserving (aggregate/hashed),Results A,observed structure-function coupling,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:12.554321
obs10_closed_loop_example_trajectories,figures/tcds_ready9/observations/obs10_closed_loop_example_trajectories.pdf,observation,experiments/tcds_ready9/06_generate_observation_plots.py,ch6_ch7_3class_features.pkl,privacy-preserving (aggregate/hashed),Results D,closed-loop belief trajectories,bounded to the measured SHAPE ERP regime,2026-06-09T17:05:13.134321
